Words (split by space),label
sony apologises for global battery recall,sad
merkel stop iran,fear
peter pan flies into chapter two,surprise
bush officials no big move in iraq plan,fear
taliban leader killed in airstrike,sad
amazon com has best ever sales,joy
iran s president urges higher birth rate,surprise
dryer blamed for fire killing cats dogs,sad
hannibal bites the big one,surprise
woman fights to keep drunken driver in jail,anger
no evidence of ice reserves on the moon,sad
now it s official iraq s a mess,sad
teen hacks venezuelan government web sites,surprise
us millions fail to buy influence in deadly gaza power play,sad
new mars orbiter spots pathfinder landing site,joy
two hussein allies are hanged iraqi official says,sad
japan whaling activists terrorists,fear
cravings still there sez tara,joy
microsoft downplays vista speech recognition hack,joy
terror network,fear
women face greatest threat of violence at home study finds,disgust
after iraq trip clinton proposes war limits,joy
donald and goydos share sony lead,joy
bp ceo browne to step down in june,sad
iran steps up production of weapons grade uranium,fear
foetal mechanism helps heart failure,surprise
pluto s revenge word of the year award,joy
tell your boss naps are good for you,joy
subway collapse caught on camera,sad
dead in apartment building fire,sad
investigation of child porn site hits nations usa today,disgust
tropical storm isaac forms in atlantic,fear
students use im lingo in essays,surprise
super bowl ads of cartoonish violence perhaps reflecting toll of war,sad
essay about that mean streak of yours psychiatry can do only so much,sad
a personal plea for hpv vaccine plan,joy
chefs not counting calories study finds,sad
indonesia will not share flu samples,surprise
guinea plan offices close as country declares emergency,fear
snow brings travel misery to england,sad
iraqi death toll exceeded in united nations says,sad
observatory poison begets poison,fear
in the world of life saving drugs a growing epidemic of deadly fakes,sad
vietnam becomes wto s th member,joy
microsoft to release next generation phone,joy
high cholesterol raises stroke risk healthy women,fear
vital signs mental abilities folic acid may improve thinking skills,surprise
walnuts combat unhealthy fats,joy
die as us helicopter crashes in iraq,sad
madonna files adoption papers,joy
nails on chalkboard study earns ig,disgust
kanishka bombing case inquiry judge threatens to quit,disgust
participant in water drinking contest dies,sad
botched hangings in iraq speed sectarianism,fear
israel intensifies military flights over lebanon,fear
findings can humanity survive want to bet on it,fear
resolution approved for international games,joy
cooking defines sephardic jews at sukkot,joy
leo battles himself,joy
north korea may begin to dismantle nukes,joy
marathon victory comes at heavy cost,joy
iran top n envoy heads for vienna for nuke talks,joy
the sweet tune of an anniversary,joy
ice storm brings chaos in u s,fear
beijing journal olympic construction unearths ancient treasure trove,joy
cooked chicken breasts join tainted food recalls,fear
double bus bombing kills three in lebanon,sad
martins leads newcastle fightback,joy
cagney lacey finally coming to dvd,joy
u s urged to lead on green actions,joy
grey s pirates lead people s choice,joy
cheney starts visit to japan australia,joy
massive mud traps dozens of families,sad
this week in auto racing october october,joy
stomp the yard has winning moves in its weekend debut,joy
friends for life an emerging biology of emotional healing,joy
youtube told to drop celeb sex video,surprise
werder make man ajax pay price,joy
seduced by snacks no not you,disgust
updates on world s top stories,fear
india s taj mahal gets facelift,joy
asia seeks breakthrough on north korea,surprise
good news for slackers naps may cut risk for heart problems,joy
kentucky wants to ban alcohol inhalers,surprise
seahawks bears vie for shot at nfl title,joy
body shop s roddick has hepatitis c,sad
obama will run in,joy
house ethics panel talks to hastert aide,joy
in kenya s capital a sense that danger is ever stronger,fear
don t miss tax breaks,joy
indonesia flood forces from homes,sad
baseball rogers enjoys his muddied streak,joy
for women aspirin a day could keep stroke away,joy
ronnie and eto o hug and make up,joy
in washington contractors take on biggest role ever,surprise
second opinion girl or boy as fertility technology advances so does an ethical debate,surprise
ba to charge for an extra bag,surprise
nuke detectors to ring new york official says,fear
did viking probes miss life on mars,surprise
too little sleep may mean too fat kids,surprise
gunmen kill in iraq tv raid,sad
feeding your brain new benefits found in chocolate,joy
up to inches of snow in forecast,surprise
storms kill knock out power cancel flights,fear
russian ship sinks member crew missing,sad
iran to hit us interests if attacked,fear
snow s too deep even for snowmobiles,surprise
will rob cohen direct third mummy,surprise
area should get inches of snow today,joy
embattled edwards blogger quits campaign,sad
tsunami fears ease after quake,fear
a police state the issues,fear
russia honors sputnik designer,joy
thousands tested after russian h n outbreak,fear
china says rich countries should take lead on global warming,sad
iran to hit us interests if attacked,fear
flu vaccine appears safe for young children,joy
dead in lebanese minibus bombings,sad
tumor types may explain survival rates for cancer,sad
us to prod nato allies for more troops to defeat taliban,fear
hacker unlocks apple music download protection,surprise
moderate drinking reduces men s heart attack risk,joy
yankee pitcher s pilot log found,surprise
an old letter casts doubts on iran s goal for uranium,surprise
queen battles bond for baftas,joy
travel leisure next island hot spot st lucia,joy
new mccain team made attack ads he once faulted,anger
somali pm vows to bring islamists to justice,anger
sri lanka floods displace,sad
presto he s batman then magic man,surprise
across europe worries on islam spread to center,sad
in rigorous test talk therapy works for panic disorder,joy
bad reasons to be good,sad
nigeria hostage feared dead is freed,joy
indonesia may sell not give bird flu virus to scientists,fear
findings a cool million for a climate backup plan,surprise
underarm bowls them over,surprise
lawyer seizes smith s bahamas home,sad
apple to vista upgraders wait,surprise
filipino woman kidnapped in nigeria,fear
ozzy a hero for the hard rocking masses,joy
obama i m running for president,joy
napping is good for your heart study finds,joy
cisco sues apple over iphone name,anger
u s and iraqis are wrangling over war plans,fear
u s troops killed hunting weapons cache,sad
work starts on arctic seed vault,joy
apple no itunes for you if you have vista,surprise
rice in baghdad insists that iraqis are,anger
barbaro s legacy saving other horses,joy
alpha dog misses the point,surprise
vegetables not fruit slow brain decline,surprise
bomb kills on military bus in iran,sad
female astronaut sets record,joy
arroyo lauds passage of anti terror bill,joy
reopening bird flu hitfactory ignores risks poultryman,fear
alonso would be happy to retire with three titles,joy
south korea fire kills foreigners,sad
largest ever autism study identifies two genetic culprits,surprise
update plane crashes at moscow airport no passengers,sad
sarkozy heads for clash in cartoons row,anger
israel weighs old city project webcast,surprise
mogadishu residents flee blasts,fear
disturbing finds in child sex raids,disgust
bryant s boot may have salvaged bucs season,joy
clinical everton show moyes means business,joy
indonesian with bird flu dies,sad
really the claim the pill can make you put on weight,surprise
test to predict breast cancer relapse is approved,joy
iraq unveils new security plans,surprise
enron boss gets year sentence,sad
rights group halts violent nepal strikes,joy
steelers roethlisberger has concussion,sad
study more kids exposed to online porn,disgust
north korea ready to discuss first steps to nuclear resolution,joy
diabetic waits months for eyeglasses,sad
record shattering day on wall st,joy
microsoft supports openid authentication standard,joy
u s says powerful iraqi cleric is living in iran,fear
thailand attacks kill three injure,sad
czechs poles get missile warning,fear
london is pace setter on congestion toll says mayor,joy
smith baby may not be pot of gold,sad
small jet crashes on takeoff killing,sad
regular naps make hearts healthy,joy
north korea aid demand stall talks,sad
israel s peretz urges halt to contentious jerusalem construction,anger
retinal implant helping blind people see again,joy
china denies reports of north korean apology,surprise
aquarium puts ailing beluga whale to sleep,sad
tiempo libre has grammy dreams,joy
israeli woman s tirade spurs pm outrage,anger
somali refugees cut off from aid,sad
united nations peacekeepers raid haitian slum,joy
cheney to congress can t run iraq war by committee,anger
magazine lists women who had abortions,anger
murphys rule box office with norbit,joy
samsung settles price fixing lawsuit,joy
bb star jackson denies goody comments,disgust
horse teeth give details of ancient big chill,surprise
costner appeals in casino wrangle,anger
ancient coin shows cleopatra was no beauty,surprise
bear cub returned to the wilderness,joy
software giant sap misses target,sad
hunters stalk world s tallest trees,sad
merriman violation stuns ex teammate,surprise
singapore pampers its waterfront promenade,joy
reunited police to start world tour in may,joy
ice storm descends on central u s,fear
iran warns will hit back at us if attacked,fear
township tourism booming in south africa,joy
howard presses bush on terror suspect,fear
palestinian factions to resume talks,joy
psych checks reviewed after astronaut s crack up,sad
african americans are organ donors these days but what about bone marrow,surprise
german chief forges accord on financing health care,joy
venezuela iran fight u s dominance,anger
space com black hole triplets spotted,surprise
archaeologists find signs of early chimps tool use,surprise
king and queen reign at british film awards,joy
far away super bowl s losers will be champs,joy
survey tech a tool in teen dating abuse,sad
south africa mourns adelaide tambo,sad
google to unveil election mashup,surprise
really the claim the back seat of a car is the safest place to sit,surprise
miss brazil wins lawsuit competition,joy
see if your city is one of the united states top fittest or fattest,surprise
panda cub makes her debut,joy
perfect lives lose their focus,joy
beckham goal helps real snatch win,joy
eu document iranian bomb unstoppable,fear
wii news for gamers,joy
scientist snoops in astronauts journals,disgust
storm causes slick icy roads,fear
personal health for teenagers the car is the danger zone,fear
catholic archbishop outlines anglican merger hopes,joy
champion murray too good for kim,joy
christian values guide dungy and the colts,joy
tropical storm paul s outer bands hit mexico s baja california,sad
iraqi health minister seized in raid,surprise
hicks first in line for trial bush says,fear
prehistoric lovers found locked in eternal embrace,surprise
judge threatens to shut down air india inquiry,anger
bird watchers flock to see rare owl,joy
photographer kidnapping condemned,disgust
melua s deep sea gig sets record,joy
pound will not drop armstrong case,anger
three drivers had reason to be proud in brazil,joy
female astronaut sets record,joy
scam lures victims with free puppy offer,surprise
violence continues at disputed holy site,sad
google executive acts as goodwill envoy,joy
who are you calling fat,disgust
fda revises label warnings on the antibiotic ketek,joy
ex virginia gov not running for president,surprise
thousands rally in lebanon,fear
allmendinger joining toyota team in nascar,joy
iraqi sunni lands show new oil and gas promise,joy
game on london exhibition celebrates the history of video games,joy
james brown s partner can get her things,joy
apple trademark dispute settled,joy
russia plans major military build up,fear
asian nations urge myanmar reform,surprise
kathmandu first snow in years,surprise
iraqi sunni lands show new oil and gas promise,joy
accord on north korea is announced,joy
peru leader questioned in massacre probe,sad
cher auction fetches double pre sale estimates,joy
new gadgets galore at tech show,joy
anna nicole smith s bahamas home seized,sad
hackers strike at key internet servers,anger
israel says hopes to keep lebanon border calm,joy
sunshine goydos wins sony open,joy
ps pricey but impressive,joy
fortune india the superpower think again,surprise
friendly fire pilot experienced,fear
male sweat raises female hormones,surprise
plo ministers agreed upon in mecca,joy
rescued boys parents hail miracle,joy
peretz orders idf to respond with force to north border attacks,anger
scientists create first cloaking device,joy
howell takes one shot lead in sony open,joy
here is some advice to take to heart,surprise
u s to allow iraqi refugees,joy
vital signs hazards antidepressant linked to fractures in older people,surprise
unilever group names new chairman,joy
allied with democrats lieberman easily aligns with republicans,surprise
bush insists troops stay in iraq predicts midterm victory,disgust
how to prevent iraq from getting even worse,fear
bears fan loses bet and changes name,surprise
kuerten returns to winners circle,joy
a small part of the brain and its profound effects,surprise
samba school leader killed before rio carnival,sad
cutting through the clutter to get things done,joy
madrid bombings trial begins,fear
snow causes airport closures in britain,sad
university offers support to new orleans school,joy
talks begin on somalia peacekeepers,joy
eight years for damilola killers,sad
official laughs for borat,joy
loving with all your brain,surprise
new iraq terror tape calls for abducting foreigners,fear
congolese soldiers riot loot over pay issue,anger
equipment on plane in brazil collision may have been faulty,sad
cuban official web a wild colt,fear
sony hates europeans will prevent the importing of ps,anger
committee debates cancer vaccine plan,surprise
cleric said to lose reins over part of iraqi militia,sad
experts fear likely shackled boy,fear
afghan poppy war alienates farmers,sad
kentucky seeks alcohol huffing ban,joy
russian ship sinks in pacific,sad
waste plant fire forces to evacuate,sad
students lose their rite of passage,sad
russia warns us against missile bases in east europe,fear
more human remains found at ground zero,sad
google buys youtube for bn,surprise
with youtube grad student hits jackpot again,joy
u s at odds with cleric s aide,fear
edwards campaign blogger quits amid catholic controversy,surprise
salt lake city mall shooter was teenager,sad
inter milan set serie a win record,joy
iraqi suicide attack kills two us troops as militants fight purge,sad
italy to try us soldier for agent s iraq death,anger
life in gaza steadily worsens,sad
utah gunman survived srebrenica,joy
test cricketer jailed over killing,sad
united finds good connection in win,joy
opportunity knocks on geologist s dream crater,joy
turkmenistan votes for president,joy
ottawa must redefine terror,fear
morrissey may cheer up eurovision,joy
youtube yields surprising payback,surprise
isinbayeva sets th world record,joy
virtual american idol hits right notes,joy
astronaut may have buckled under stress,sad
putin u s force fostering nuke ambitions,fear
troops massing around somali town,fear
royal seeks to revive french bid,joy
search on for victims of subway collapse,sad
republicans plan to block iraq debate,anger
dad locked up son watched on tv police say,sad
mother daughter stabbed near school,sad
trolley square shooting leaves dead including gunman,sad
defense to challenge russert s credibility,surprise
wilkinson sets record in tame win,joy
ingredient in male sweat raises women s hormone levels,surprise
iran reneges on nuclear payments to russia,fear
nasa revisiting life on mars question,surprise
sights and sounds from ces,joy
oracle world opens with dell unveiling amd powered computers,joy
experts offer advice on salmonella,joy
stinky flower mystery solved,joy
in the rockies pines die and bears feel it,sad
beyonce in a bikini as si s swimsuit cover model,joy
seahawks qb hasselbeck out weeks,sad
oil holds at,joy
three found alive from missing russian ship report,joy
confusion reigns in the expanding digital world,surprise
doomsday clock ticking away,fear
italy drops sicily bridge plans,surprise
protest greets congestion charge s westward push,anger
us airways boosts bid for delta,surprise
hurricane paul weakens to tropical storm,surprise
a familiar and prescient voice brought to life,joy
male sweat boosts women s hormone levels,surprise
iran rejects us claims of supplying weapons in iraq,fear
israel insists on lebanon overflights,anger
gere cheers sex workers in aids fight,joy
tv game shows go interactive,joy
china detains after body parts found in mail,fear
amish discuss shootings,sad
anna nicole claimant a prince of a guy,surprise
jones faces europe meetings snub,sad
models health guidelines will they help,surprise
s jack bauer returns,joy
uk announces immigration restrictions,anger
commodities lead europe higher,joy
iran says sunnis using pakistan as base planned fatal bombing,fear
asean talks end on energy security,joy
norbit a waste of murphy,sad
petraeus takes command in iraq,fear
merck gardasil may fight more strains,joy
anna nicole smith s body lies in legal limbo,sad
terror officials see al qaeda chiefs regaining power,fear
iran says it will strike us interests if attacked,fear
ashton kutcher tells secret to ryan seacrest,surprise
women protest pakistan demolition,anger
review ps pricey but impressive,joy
j k rowling marks spot of potter s end,sad
sudan tells united nations envoy to leave in hours,surprise
salmonella outbreak traced to peanut butter,fear
allen and okur get all star call,joy
taliban seize rural district in southwest as police flee,fear
pc world editor slain at california home,sad
israelis retaliate after attack by lebanese army,fear
attack video saddens friendly fire widow,sad
whether to save cord blood can be puzzle for parents,surprise
philippine anti terror law delayed until june,fear
apple s dark secret the claim,surprise
spacewalker sets new u s record,joy
france al qaeda suspects arrested,fear
review nokia xpress music,joy
sleep more to fight childhood obesity,surprise
dead after utah mall shooting rampage,sad
german paper shows soldiers desecrating skull,disgust
japanese whaler afire in antarctic,sad
jet flips in snowstorm none dead,joy
teacher in hiding after attack on islam stirs threats,fear
mistrial for officer who refused to go to iraq,sad
rwanda mulling kid limit for families,joy
man admits uk us terror bomb plot,fear
deaths as bird flu flares in asia,fear
uk characters boosting box office,joy
moscow says palestine israeli contacts key to mideast peace,joy
sony apologizes for battery recall,joy
mass venezuela opposition rally,anger
squirrel jumps boy in park rabies suspected,surprise
