textid,anger,disgust,fear,joy,sad,surprise
91,0.069444,0.0485884,0.0754115,0.362675,0.203725,0.240156
92,0.187567,0.078669,0.208436,0.198551,0.195744,0.131033
93,0.124417,0.0613361,0.173752,0.247202,0.163069,0.230224
94,0.0666128,0.0493918,0.192294,0.212952,0.249875,0.228874
95,0.0448317,0.0530978,0.220202,0.28756,0.192684,0.201625
96,0.064965,0.049623,0.144763,0.216171,0.282874,0.241604
97,0.053633,0.0292282,0.101505,0.395186,0.140577,0.279872
98,0.0872321,0.0603126,0.123509,0.172196,0.420507,0.136243
99,0.0433199,0.0336282,0.191959,0.28536,0.100278,0.345455
100,0.0649465,0.0468573,0.063552,0.424057,0.163659,0.236928
101,0.0857394,0.0628629,0.168515,0.245557,0.246529,0.190797
102,0.0498201,0.0377201,0.0776422,0.484494,0.100604,0.24972
103,0.211692,0.0740235,0.18908,0.0569849,0.312014,0.156204
104,0.0313594,0.048169,0.0909538,0.428578,0.119595,0.281344
105,0.127776,0.0765664,0.337921,0.164045,0.171722,0.12197
106,0.1076,0.0570376,0.21475,0.106735,0.333398,0.180481
107,0.117844,0.0576409,0.195471,0.138656,0.272096,0.218292
108,0.0495713,0.0230202,0.0833775,0.421623,0.1186,0.303809
109,0.059351,0.0360726,0.103194,0.472005,0.106661,0.222716
110,0.0523992,0.0227029,0.100912,0.402152,0.157266,0.264568
111,0.0898426,0.0708384,0.161058,0.197596,0.267899,0.212766
112,0.126082,0.0885177,0.211159,0.134723,0.270562,0.168957
113,0.050952,0.0286277,0.0982935,0.403802,0.141117,0.277208
114,0.0901778,0.054923,0.125124,0.357916,0.150431,0.221429
115,0.109648,0.0491995,0.27615,0.190644,0.23647,0.137888
116,0.0642866,0.0330723,0.134684,0.346161,0.213445,0.208351
117,0.0992764,0.053103,0.217352,0.261641,0.190942,0.177686
118,0.0549835,0.0392392,0.071955,0.454806,0.104578,0.274438
119,0.117194,0.0411876,0.145294,0.241278,0.190834,0.264213
120,0.0969554,0.051389,0.238364,0.10361,0.295869,0.213813
121,0.0442344,0.0187527,0.114181,0.401277,0.12456,0.296995
122,0.09291,0.068425,0.148048,0.243786,0.15617,0.290661
123,0.0327102,0.0338036,0.101325,0.534407,0.118106,0.179648
124,0.064846,0.0354118,0.251079,0.22516,0.257972,0.165531
125,0.0898426,0.0708384,0.161058,0.197596,0.267899,0.212766
126,0.0635202,0.111506,0.121216,0.309806,0.175886,0.218066
127,0.117444,0.0494591,0.133169,0.182235,0.180673,0.33702
128,0.125586,0.060271,0.250506,0.190571,0.134742,0.238324
129,0.150364,0.0766225,0.147604,0.280574,0.176989,0.167847
130,0.0829248,0.0500021,0.105079,0.301748,0.143321,0.316926
131,0.0898434,0.0566461,0.13096,0.274637,0.209518,0.238396
132,0.0575083,0.0349526,0.0975786,0.481522,0.0956345,0.232804
133,0.251463,0.100261,0.268298,0.0740764,0.239592,0.0663099
134,0.0737316,0.0613154,0.184138,0.133522,0.336043,0.21125
135,0.0358849,0.0241536,0.174542,0.402311,0.138448,0.22466
136,0.0775065,0.0535581,0.073841,0.395479,0.163868,0.235748
137,0.117096,0.0584038,0.227379,0.113242,0.298632,0.185248
138,0.0777446,0.0328315,0.114995,0.32556,0.160991,0.287879
139,0.102988,0.0584003,0.203943,0.277817,0.176863,0.179989
140,0.185606,0.0679073,0.171121,0.205512,0.167846,0.202008
141,0.067279,0.0838875,0.0882507,0.401777,0.163762,0.195044
142,0.11867,0.0500256,0.153067,0.248667,0.274412,0.155158
143,0.0625754,0.0320191,0.0740071,0.447889,0.119483,0.264027
144,0.0397036,0.0230714,0.1424,0.303438,0.282866,0.208521
145,0.0683603,0.0375879,0.11747,0.354439,0.18869,0.233453
146,0.0778398,0.0563938,0.0667621,0.391484,0.176032,0.231488
147,0.0707328,0.077817,0.0858931,0.24933,0.197482,0.318745
148,0.0862881,0.0454309,0.180102,0.191343,0.303951,0.192885
149,0.0605677,0.0421715,0.189891,0.204849,0.200127,0.302393
150,0.0617017,0.0310335,0.223741,0.0921075,0.426697,0.164719
151,0.100379,0.0555205,0.190139,0.187347,0.26411,0.202503
152,0.0713982,0.0322549,0.114231,0.315982,0.174161,0.291973
153,0.0543191,0.0155115,0.157734,0.425068,0.115584,0.231783
154,0.0478557,0.0783943,0.0793507,0.318925,0.0746863,0.400788
155,0.0554154,0.0709179,0.102276,0.299043,0.125724,0.346624
156,0.0629805,0.036741,0.101647,0.324364,0.16045,0.313818
157,0.06051,0.02444,0.179579,0.31386,0.153063,0.268547
158,0.0703123,0.0307309,0.0986429,0.358927,0.144025,0.297362
159,0.0746593,0.0562475,0.129598,0.336306,0.196262,0.206927
160,0.061039,0.0427094,0.221193,0.233857,0.192754,0.248449
161,0.0681536,0.0506678,0.202098,0.320397,0.192493,0.16619
162,0.109113,0.104751,0.163493,0.190372,0.20598,0.226291
163,0.0675295,0.0369233,0.1053,0.318238,0.152132,0.319876
164,0.124168,0.113467,0.24491,0.20995,0.187735,0.119769
165,0.222495,0.123182,0.202774,0.116874,0.208865,0.125808
166,0.0783607,0.0692621,0.184287,0.202827,0.262091,0.203172
167,0.091169,0.042042,0.0969976,0.365505,0.131027,0.27326
168,0.0727006,0.0518725,0.0848135,0.347586,0.212112,0.230916
169,0.090584,0.0371733,0.112172,0.326134,0.195307,0.238629
170,0.0875459,0.0378463,0.130348,0.362455,0.228738,0.153067
171,0.10343,0.0390627,0.20666,0.22965,0.205739,0.215458
172,0.0935587,0.0376754,0.0956374,0.363634,0.10821,0.301284
173,0.0902635,0.043452,0.15522,0.340849,0.189991,0.180225
174,0.0428864,0.0296647,0.147778,0.353198,0.161996,0.264477
175,0.068196,0.028476,0.171443,0.247228,0.316493,0.168164
176,0.0549264,0.0308444,0.0953636,0.339512,0.220593,0.258761
177,0.0947472,0.0635266,0.276759,0.205339,0.214182,0.145445
178,0.0896196,0.0302841,0.146782,0.378551,0.104834,0.249929
179,0.0643078,0.0281281,0.0851185,0.394813,0.14874,0.278893
180,0.084351,0.0421387,0.140487,0.293967,0.22781,0.211246
181,0.0650752,0.0352872,0.351327,0.161528,0.22643,0.160353
182,0.0580531,0.0329158,0.088123,0.313045,0.187518,0.320346
183,0.0845434,0.0261755,0.174315,0.391704,0.148174,0.175088
184,0.0782107,0.0475352,0.135986,0.362886,0.140554,0.234828
185,0.0576823,0.0437346,0.0930289,0.31498,0.189958,0.300616
186,0.070994,0.0531288,0.0756627,0.3722,0.184853,0.243162
187,0.0974747,0.0591562,0.189377,0.195444,0.24073,0.217818
188,0.0552135,0.0428371,0.143597,0.362991,0.147246,0.248116
189,0.0370684,0.0111317,0.0677724,0.487005,0.104828,0.292195
190,0.0782107,0.0475352,0.135986,0.362886,0.140554,0.234828
191,0.118059,0.0418672,0.202645,0.187413,0.258277,0.191738
192,0.117618,0.0527689,0.0976514,0.335503,0.136304,0.260154
193,0.102196,0.050634,0.161302,0.241189,0.2016,0.243079
194,0.107171,0.0742619,0.233681,0.140131,0.231426,0.21333
195,0.0619855,0.0287025,0.102442,0.431843,0.114418,0.260609
196,0.111955,0.079912,0.172503,0.181305,0.278274,0.176051
197,0.0984772,0.0542728,0.151905,0.231341,0.230554,0.23345
198,0.0317039,0.0158167,0.108483,0.445592,0.172761,0.225643
199,0.113555,0.0574802,0.221761,0.154029,0.26806,0.185115
200,0.132045,0.0817205,0.23597,0.0819882,0.323137,0.14514
201,0.0584299,0.0365578,0.0816842,0.478361,0.0898442,0.255123
202,0.0858659,0.0585818,0.174523,0.160777,0.216866,0.303386
203,0.0814467,0.0306026,0.117899,0.359762,0.135728,0.274562
204,0.0568945,0.0621855,0.143805,0.27165,0.138894,0.326571
205,0.0480297,0.0183702,0.107215,0.401494,0.14093,0.283961
206,0.0427007,0.0316838,0.0974624,0.333601,0.191753,0.302799
207,0.0850145,0.0570069,0.227579,0.273577,0.154297,0.202526
208,0.0779728,0.0244228,0.0640139,0.471355,0.121059,0.241177
209,0.0938199,0.0325921,0.204159,0.288738,0.130244,0.250446
210,0.0756184,0.0290545,0.0835518,0.412657,0.138413,0.260706
211,0.164482,0.0683478,0.22534,0.224031,0.154201,0.163597
212,0.101458,0.0698811,0.240587,0.245739,0.164222,0.178111
213,0.0657327,0.0450881,0.215789,0.185635,0.28908,0.198675
214,0.104827,0.087,0.129879,0.29855,0.186045,0.193698
215,0.0593645,0.0528218,0.0663721,0.389119,0.193062,0.23926
216,0.0619995,0.0280071,0.0578376,0.417992,0.139274,0.29489
217,0.0745223,0.0259538,0.0985249,0.408136,0.160449,0.232415
218,0.0766286,0.0662853,0.0447663,0.399638,0.160913,0.251769
219,0.102812,0.0514826,0.196714,0.150574,0.319444,0.178973
220,0.0654337,0.0463091,0.0835475,0.402291,0.172276,0.230143
221,0.100629,0.0603944,0.0782751,0.380156,0.159252,0.221293
222,0.0322376,0.0306791,0.131541,0.37688,0.0962081,0.332454
223,0.068754,0.0522881,0.15959,0.210766,0.269553,0.239049
224,0.111642,0.069521,0.185901,0.212605,0.221917,0.198415
225,0.0553908,0.046147,0.360428,0.13462,0.227993,0.175421
226,0.098745,0.0641273,0.202341,0.160079,0.266093,0.208614
227,0.0669958,0.0276278,0.073066,0.450055,0.119336,0.262919
228,0.0658992,0.057848,0.239727,0.250017,0.170949,0.21556
229,0.0684259,0.0222771,0.111839,0.493611,0.074487,0.22936
230,0.0620325,0.0209572,0.0984437,0.271969,0.278497,0.268101
231,0.0563764,0.0288442,0.0961472,0.396025,0.124678,0.297929
232,0.0670488,0.0415437,0.108397,0.33117,0.173678,0.278162
233,0.0690831,0.0406605,0.221408,0.284959,0.163564,0.220325
234,0.0782107,0.0475352,0.135986,0.362886,0.140554,0.234828
235,0.0728179,0.023848,0.104398,0.418631,0.17137,0.208936
236,0.0832569,0.0618817,0.219163,0.26517,0.176349,0.194179
237,0.150803,0.0868959,0.188796,0.119549,0.286107,0.16785
238,0.120596,0.143995,0.161803,0.182914,0.196194,0.194497
239,0.0641863,0.0463089,0.0523078,0.429361,0.152079,0.255757
240,0.114023,0.0526392,0.179096,0.278011,0.150449,0.225781
241,0.0650948,0.0276182,0.06456,0.425241,0.121743,0.295743
242,0.0437296,0.0438866,0.0712359,0.571242,0.0931646,0.176741
243,0.177119,0.0594313,0.106471,0.23758,0.164007,0.255391
244,0.0930387,0.0504533,0.199918,0.2041,0.229884,0.222606
245,0.130628,0.0943745,0.16502,0.147921,0.274628,0.187429
246,0.063929,0.0359018,0.111205,0.313774,0.169581,0.30561
247,0.0499285,0.0319951,0.0793456,0.553024,0.0974399,0.188267
248,0.104063,0.0681256,0.128564,0.29231,0.156273,0.250665
249,0.0898426,0.0708384,0.161058,0.197596,0.267899,0.212766
250,0.0573809,0.0733739,0.163389,0.292392,0.140508,0.272956
251,0.122485,0.0525912,0.0586689,0.358189,0.163942,0.244123
252,0.0755225,0.0327874,0.118063,0.283676,0.219718,0.270232
253,0.070232,0.0523668,0.0685511,0.401812,0.17913,0.227908
254,0.0628722,0.045843,0.157423,0.313359,0.216141,0.204362
255,0.0826752,0.0531389,0.206168,0.286871,0.160718,0.210429
256,0.0792966,0.0457763,0.247439,0.227869,0.218392,0.181226
257,0.0625642,0.0263488,0.137336,0.208782,0.365111,0.199858
258,0.221874,0.134294,0.187083,0.0849684,0.228024,0.143757
259,0.0660893,0.0854049,0.240385,0.162074,0.279623,0.166424
260,0.0670089,0.0411591,0.120161,0.327701,0.232927,0.211043
261,0.0878581,0.0760744,0.118567,0.189095,0.222743,0.305662
262,0.117045,0.0573903,0.146293,0.255201,0.180637,0.243434
263,0.060348,0.0336858,0.0624072,0.436129,0.132719,0.274711
264,0.0759991,0.0550478,0.173558,0.274424,0.212459,0.208513
265,0.112879,0.044678,0.124391,0.257741,0.184781,0.27553
266,0.0438434,0.0694698,0.185242,0.1904,0.10189,0.409156
267,0.104479,0.0608074,0.225082,0.127672,0.288311,0.193648
268,0.176661,0.177769,0.159267,0.108736,0.149616,0.227951
269,0.0622028,0.07,0.0987545,0.28301,0.279775,0.206258
270,0.130343,0.02698,0.156142,0.342253,0.12052,0.223761
271,0.14933,0.0898269,0.169118,0.288354,0.149612,0.153759
272,0.0640614,0.0465772,0.217427,0.259014,0.235629,0.177291
273,0.156926,0.0804245,0.219941,0.167177,0.236505,0.139027
274,0.0951469,0.0517092,0.224987,0.282296,0.131161,0.2147
275,0.0853301,0.0602477,0.139213,0.298158,0.162805,0.254246
276,0.144041,0.116918,0.222977,0.19671,0.19392,0.125434
277,0.0898244,0.0452453,0.122054,0.341806,0.116513,0.284557
278,0.101176,0.0654959,0.177954,0.166843,0.343412,0.145119
279,0.102469,0.0291205,0.292119,0.192546,0.157697,0.226048
280,0.164562,0.117847,0.203183,0.163676,0.152812,0.197921
281,0.0568899,0.0184923,0.212564,0.166884,0.375965,0.169204
282,0.0647786,0.0494807,0.139624,0.236804,0.280097,0.229216
283,0.131587,0.0783203,0.112524,0.302381,0.14957,0.225618
284,0.115642,0.0384649,0.0885423,0.347452,0.181468,0.22843
285,0.0499936,0.0413024,0.0891096,0.379846,0.179622,0.260127
286,0.0684967,0.0776464,0.251825,0.163526,0.246449,0.192057
287,0.0782107,0.0475352,0.135986,0.362886,0.140554,0.234828
288,0.0853396,0.0386807,0.180337,0.212147,0.23382,0.249675
289,0.0478662,0.0256069,0.250896,0.144302,0.369694,0.161635
290,0.0243329,0.0137801,0.140339,0.540054,0.135267,0.146228
291,0.0988473,0.0488658,0.111964,0.286351,0.234137,0.219835
292,0.101305,0.103175,0.0954795,0.34295,0.164398,0.192692
293,0.140284,0.0412854,0.181638,0.258461,0.197903,0.180428
294,0.0610972,0.0432711,0.148322,0.331918,0.221611,0.19378
295,0.059777,0.0290819,0.0583458,0.44027,0.117303,0.295222
296,0.0850342,0.0253092,0.0712944,0.372535,0.12188,0.323946
297,0.169173,0.0914156,0.259378,0.162186,0.202622,0.115226
298,0.0534441,0.0272426,0.337843,0.1583,0.227538,0.195632
299,0.173978,0.0882657,0.207853,0.157817,0.239801,0.132285
300,0.105458,0.0672747,0.187248,0.150555,0.273035,0.216429
301,0.0794737,0.0510893,0.195696,0.312062,0.160731,0.200948
302,0.182253,0.0432172,0.216259,0.231046,0.112004,0.215221
303,0.0466869,0.02853,0.0975909,0.316531,0.199938,0.310723
304,0.114323,0.0688255,0.217362,0.12147,0.276276,0.201743
305,0.0580869,0.030269,0.14088,0.425112,0.179526,0.166126
306,0.0676418,0.0510734,0.260536,0.221459,0.122806,0.276484
307,0.119538,0.0952783,0.17729,0.190316,0.219867,0.19771
308,0.0751549,0.0510579,0.0651625,0.394948,0.177786,0.235891
309,0.080233,0.0640173,0.147472,0.327647,0.158446,0.222185
310,0.0654251,0.0545374,0.109989,0.394314,0.182295,0.193439
311,0.0782107,0.0475352,0.135986,0.362886,0.140554,0.234828
312,0.102137,0.0604194,0.171575,0.21929,0.266712,0.179866
