Words (split by space),anger,disgust,fear,joy,sad,surprise
investigation of child porn site hits nations usa today,0.218,0.2749,0.1327,0,0.2227,0.1517
tropical storm isaac forms in atlantic,0,0,0.8958,0,0.1042,0
students use im lingo in essays,0,0.1094,0.125,0.0156,0.1563,0.5938
super bowl ads of cartoonish violence perhaps reflecting toll of war,0.1119,0.1049,0.1748,0.1049,0.3147,0.1888
essay about that mean streak of yours psychiatry can do only so much,0.1311,0,0.0984,0.1639,0.3279,0.2787
a personal plea for hpv vaccine plan,0,0,0.2,0.3077,0.2923,0.2
chefs not counting calories study finds,0.3659,0,0.122,0,0.5122,0
indonesia will not share flu samples,0.1552,0.1552,0.0948,0,0.2586,0.3362
guinea plan offices close as country declares emergency,0,0,0.5811,0,0.2297,0.1892
snow brings travel misery to england,0.0265,0.0442,0.2478,0.0265,0.5575,0.0973
iraqi death toll exceeded in united nations says,0.1385,0.0872,0.1692,0,0.4923,0.1128
observatory poison begets poison,0.1124,0.1011,0.3034,0,0.2921,0.191
in the world of life saving drugs a growing epidemic of deadly fakes,0.0789,0.0842,0.2526,0.0789,0.3263,0.1789
vietnam becomes wto s th member,0.0645,0.0645,0,0.7581,0.0323,0.0806
microsoft to release next generation phone,0,0,0,0.6071,0,0.3929
high cholesterol raises stroke risk healthy women,0,0,0.5294,0,0.2,0.2706
vital signs mental abilities folic acid may improve thinking skills,0,0,0,0.4819,0,0.5181
walnuts combat unhealthy fats,0,0.0455,0.0114,0.4205,0.125,0.3977
die as us helicopter crashes in iraq,0.0774,0.0258,0.2645,0,0.6065,0.0258
madonna files adoption papers,0,0,0,0.6522,0,0.3478
nails on chalkboard study earns ig,0.1081,0.5405,0,0.0811,0,0.2703
kanishka bombing case inquiry judge threatens to quit,0.2473,0.2688,0.2151,0,0.129,0.1398
participant in water drinking contest dies,0.0078,0,0.0234,0,0.7344,0.2344
botched hangings in iraq speed sectarianism,0.2117,0.073,0.365,0.0292,0.2774,0.0438
israel intensifies military flights over lebanon,0.1908,0.0987,0.3947,0,0.2632,0.0526
findings can humanity survive want to bet on it,0.0123,0,0.5185,0.0123,0.1235,0.3333
resolution approved for international games,0,0,0,0.75,0,0.25
cooking defines sephardic jews at sukkot,0,0,0,1,0,0
leo battles himself,0,0,0.1071,0.4821,0.0714,0.3393
north korea may begin to dismantle nukes,0.0196,0,0.2843,0.5098,0.0196,0.1667
marathon victory comes at heavy cost,0.0617,0,0,0.4691,0.4691,0
iran top n envoy heads for vienna for nuke talks,0.0267,0,0.2933,0.3867,0.1467,0.1467
the sweet tune of an anniversary,0,0,0,1,0,0
ice storm brings chaos in u s,0.0526,0.0175,0.5,0,0.307,0.1228
beijing journal olympic construction unearths ancient treasure trove,0,0,0,0.5802,0,0.4198
cooked chicken breasts join tainted food recalls,0.125,0.0313,0.3438,0.2344,0.1016,0.1641
double bus bombing kills three in lebanon,0.0568,0,0.3693,0,0.4602,0.1136
martins leads newcastle fightback,0.1,0,0,0.725,0.025,0.15
cagney lacey finally coming to dvd,0,0,0,0.6812,0,0.3188
u s urged to lead on green actions,0.0484,0,0.1452,0.5161,0.1452,0.1452
grey s pirates lead people s choice,0,0,0,0.8636,0,0.1364
cheney starts visit to japan australia,0,0,0,0.7143,0,0.2857
massive mud traps dozens of families,0.0353,0,0.3294,0,0.4471,0.1882
this week in auto racing october october,0,0,0,0.6667,0,0.3333
stomp the yard has winning moves in its weekend debut,0,0,0,0.8395,0,0.1605
friends for life an emerging biology of emotional healing,0,0,0,0.8447,0,0.1553
youtube told to drop celeb sex video,0.0761,0.25,0.0978,0.1522,0.163,0.2609
werder make man ajax pay price,0,0.0882,0,0.6471,0.0882,0.1765
seduced by snacks no not you,0.2955,0.3409,0,0.0455,0.3182,0
updates on world s top stories,0,0,0.6667,0,0,0.3333
india s taj mahal gets facelift,0,0,0,0.7386,0,0.2614
asia seeks breakthrough on north korea,0.2576,0,0.2121,0.197,0,0.3333
good news for slackers naps may cut risk for heart problems,0,0,0.0313,0.5208,0.0104,0.4375
kentucky wants to ban alcohol inhalers,0,0,0.2759,0.1724,0,0.5517
seahawks bears vie for shot at nfl title,0,0,0.1778,0.7111,0,0.1111
body shop s roddick has hepatitis c,0,0,0.1651,0,0.4404,0.3945
obama will run in,0,0,0,0.8167,0,0.1833
house ethics panel talks to hastert aide,0,0,0,0.7073,0,0.2927
in kenya s capital a sense that danger is ever stronger,0,0,0.5739,0,0.2522,0.1739
don t miss tax breaks,0,0,0.2222,0.3333,0.1111,0.3333
indonesia flood forces from homes,0.0139,0,0.2569,0,0.6181,0.1111
baseball rogers enjoys his muddied streak,0,0,0,0.8171,0,0.1829
for women aspirin a day could keep stroke away,0,0,0.0933,0.5467,0.08,0.28
ronnie and eto o hug and make up,0,0,0,0.8667,0,0.1333
in washington contractors take on biggest role ever,0,0.0182,0,0.4545,0,0.5273
second opinion girl or boy as fertility technology advances so does an ethical debate,0.1047,0.1744,0.1744,0.0581,0.1628,0.3256
ba to charge for an extra bag,0.2267,0.12,0.1467,0,0.2,0.3067
nuke detectors to ring new york official says,0,0,0.5844,0.1558,0.1039,0.1558
did viking probes miss life on mars,0.1618,0,0.0882,0,0.1471,0.6029
too little sleep may mean too fat kids,0,0.1237,0.0722,0,0.2165,0.5876
gunmen kill in iraq tv raid,0.2475,0.1634,0.2129,0,0.3762,0
feeding your brain new benefits found in chocolate,0,0,0,0.6667,0,0.3333
up to inches of snow in forecast,0,0,0.1944,0.0556,0.0833,0.6667
storms kill knock out power cancel flights,0.0195,0.0584,0.5325,0,0.3896,0
russian ship sinks member crew missing,0.0368,0,0.4412,0,0.5221,0
iran to hit us interests if attacked,0.3281,0.0234,0.4219,0,0.1719,0.0547
snow s too deep even for snowmobiles,0.0227,0.0227,0.3295,0,0.1705,0.4545
will rob cohen direct third mummy,0,0,0,0.4776,0,0.5224
area should get inches of snow today,0,0,0.0435,0.6087,0,0.3478
embattled edwards blogger quits campaign,0.0488,0,0,0,0.4878,0.4634
tsunami fears ease after quake,0,0,0.7524,0.1238,0.1238,0
a police state the issues,0.2027,0.0676,0.6216,0,0.1081,0
russia honors sputnik designer,0,0,0,0.8462,0,0.1538
thousands tested after russian h n outbreak,0,0,0.5304,0.2,0.2261,0.0435
china says rich countries should take lead on global warming,0.1739,0.2029,0.1449,0.1449,0.2899,0.0435
iran to hit us interests if attacked,0.2564,0.0598,0.5128,0,0.1453,0.0256
flu vaccine appears safe for young children,0,0,0.1176,0.8824,0,0
dead in lebanese minibus bombings,0.0655,0,0.3631,0,0.5179,0.0536
tumor types may explain survival rates for cancer,0,0,0.1698,0.2642,0.4528,0.1132
us to prod nato allies for more troops to defeat taliban,0.1942,0.1456,0.4563,0,0.2039,0
hacker unlocks apple music download protection,0.1694,0.1129,0.0968,0.2016,0,0.4194
moderate drinking reduces men s heart attack risk,0,0,0.4328,0.5672,0,0
yankee pitcher s pilot log found,0,0,0,0,0,1
an old letter casts doubts on iran s goal for uranium,0,0,0.3472,0.1111,0,0.5417
queen battles bond for baftas,0.0328,0,0.1803,0.4918,0.0328,0.2623
travel leisure next island hot spot st lucia,0,0,0,1,0,0
new mccain team made attack ads he once faulted,0.2317,0.1585,0.2317,0,0.1829,0.1951
somali pm vows to bring islamists to justice,0.297,0.1683,0.1485,0.1782,0.1683,0.0396
sri lanka floods displace,0.1029,0,0.2868,0,0.5882,0.0221
presto he s batman then magic man,0,0,0,0.4688,0,0.5313
across europe worries on islam spread to center,0.1235,0.1111,0.2346,0,0.5309,0
in rigorous test talk therapy works for panic disorder,0,0,0.2185,0.4622,0.0336,0.2857
bad reasons to be good,0.1636,0.0545,0,0.2727,0.4545,0.0545
nigeria hostage feared dead is freed,0.0814,0,0.2353,0.2986,0.0905,0.2941
indonesia may sell not give bird flu virus to scientists,0.1371,0.1613,0.2823,0,0.2339,0.1855
findings a cool million for a climate backup plan,0.1304,0.1304,0.1391,0.2174,0.1391,0.2435
underarm bowls them over,0,0.2,0,0.24,0,0.56
lawyer seizes smith s bahamas home,0.0462,0,0.1385,0,0.6462,0.1692
apple to vista upgraders wait,0,0,0,0.0278,0.3611,0.6111
filipino woman kidnapped in nigeria,0.1749,0.082,0.4208,0,0.2732,0.0492
ozzy a hero for the hard rocking masses,0,0,0,0.9024,0,0.0976
obama i m running for president,0,0,0,0.6078,0,0.3922
napping is good for your heart study finds,0,0,0,0.5484,0,0.4516
cisco sues apple over iphone name,0.5795,0.0795,0,0,0.0341,0.3068
u s and iraqis are wrangling over war plans,0.2462,0,0.4308,0,0.1923,0.1308
u s troops killed hunting weapons cache,0.1083,0.0167,0.25,0,0.6167,0.0083
work starts on arctic seed vault,0,0,0.0149,0.6716,0,0.3134
apple no itunes for you if you have vista,0.1333,0.0833,0,0,0.1667,0.6167
rice in baghdad insists that iraqis are,0.2868,0.2558,0.2016,0,0.2558,0
barbaro s legacy saving other horses,0,0,0.087,0.4348,0.3188,0.1594
alpha dog misses the point,0,0.0789,0,0,0.4474,0.4737
vegetables not fruit slow brain decline,0,0,0.2525,0.2626,0.0202,0.4646
bomb kills on military bus in iran,0.0115,0.0057,0.3736,0,0.4885,0.1207
female astronaut sets record,0,0,0,0.6602,0,0.3398
arroyo lauds passage of anti terror bill,0.026,0,0.1039,0.6753,0.013,0.1818
reopening bird flu hitfactory ignores risks poultryman,0.2314,0.0909,0.4215,0.0083,0.1322,0.1157
alonso would be happy to retire with three titles,0,0,0,0.7176,0.2824,0
south korea fire kills foreigners,0,0.007,0.2797,0,0.5245,0.1888
largest ever autism study identifies two genetic culprits,0,0,0.1519,0.2025,0.2658,0.3797
update plane crashes at moscow airport no passengers,0.0214,0,0.3,0.1143,0.3571,0.2071
sarkozy heads for clash in cartoons row,0.4839,0.2097,0.129,0,0.0323,0.1452
israel weighs old city project webcast,0.0851,0,0.1277,0.2766,0.0213,0.4894
mogadishu residents flee blasts,0.0482,0,0.4217,0.0964,0.2651,0.1687
disturbing finds in child sex raids,0.3226,0.3806,0.0258,0,0.271,0
bryant s boot may have salvaged bucs season,0,0,0,0.6964,0,0.3036
clinical everton show moyes means business,0,0,0,0.6,0,0.4
indonesian with bird flu dies,0,0,0.3237,0,0.5252,0.1511
really the claim the pill can make you put on weight,0,0.129,0,0.0806,0,0.7903
test to predict breast cancer relapse is approved,0,0,0.2055,0.5205,0.1233,0.1507
iraq unveils new security plans,0,0.0408,0.3367,0.1531,0.1224,0.3469
enron boss gets year sentence,0.1682,0.1682,0.0467,0.1308,0.3271,0.1589
rights group halts violent nepal strikes,0.1724,0.0345,0.2483,0.3172,0.1517,0.0759
steelers roethlisberger has concussion,0,0,0.0513,0,0.7949,0.1538
study more kids exposed to online porn,0.1913,0.3497,0.2404,0,0.153,0.0656
north korea ready to discuss first steps to nuclear resolution,0.0286,0.0095,0.3619,0.4476,0.019,0.1333
diabetic waits months for eyeglasses,0.3469,0.1122,0,0,0.4082,0.1327
record shattering day on wall st,0,0,0,0.642,0,0.358
microsoft supports openid authentication standard,0,0,0,0.7857,0,0.2143
u s says powerful iraqi cleric is living in iran,0.1286,0,0.5714,0,0.0857,0.2143
thailand attacks kill three injure,0.1325,0.0602,0.253,0,0.4578,0.0964
czechs poles get missile warning,0.0982,0.0357,0.6071,0,0.0536,0.2054
london is pace setter on congestion toll says mayor,0.0862,0.0517,0.1207,0.4655,0.1724,0.1034
smith baby may not be pot of gold,0,0.0444,0.0667,0.1111,0.4222,0.3556
small jet crashes on takeoff killing,0.0067,0,0.3467,0,0.6267,0.02
regular naps make hearts healthy,0,0,0.0222,0.5222,0,0.4556
north korea aid demand stall talks,0.1148,0,0.1967,0,0.4754,0.2131
israel s peretz urges halt to contentious jerusalem construction,0.34,0.07,0.19,0,0.24,0.16
retinal implant helping blind people see again,0,0,0,0.7547,0.0189,0.2264
china denies reports of north korean apology,0.1857,0.0429,0.1571,0,0.2857,0.3286
aquarium puts ailing beluga whale to sleep,0.0115,0,0,0.0805,0.7701,0.1379
tiempo libre has grammy dreams,0,0,0,0.7925,0,0.2075
israeli woman s tirade spurs pm outrage,0.5547,0.2266,0.1016,0,0.1016,0.0156
somali refugees cut off from aid,0.1176,0,0.1345,0.0084,0.6134,0.1261
united nations peacekeepers raid haitian slum,0.0375,0,0.0875,0.35,0.275,0.25
cheney to congress can t run iraq war by committee,0.4519,0.0385,0.25,0,0.2019,0.0577
magazine lists women who had abortions,0.3509,0.2368,0,0,0.2895,0.1228
murphys rule box office with norbit,0,0,0,0.5455,0.0909,0.3636
samsung settles price fixing lawsuit,0.0746,0.0746,0.1045,0.4328,0.1194,0.194
