year,ID,Estimate; HOUSEHOLDS BY TYPE - Total households,Estimate; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years,Estimate; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over,Estimate; HOUSEHOLDS BY TYPE - Average household size,Estimate; HOUSEHOLDS BY TYPE - Average family size,Estimate; RELATIONSHIP - Population in households,Estimate; MARITAL STATUS - Males 15 years and over,Estimate; MARITAL STATUS - Females 15 years and over,Estimate; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years,Estimate; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years,Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over,Estimate; VETERAN STATUS - Civilian population 18 years and over,Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over,Estimate; PLACE OF BIRTH - Total population,Estimate; U.S. CITIZENSHIP STATUS - Foreign-born population,Estimate; YEAR OF ENTRY - Population born outside the United States,Estimate; YEAR OF ENTRY - Native,Estimate; YEAR OF ENTRY - Foreign born,Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population£» excluding population born at sea,Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over,Estimate; ANCESTRY - Total population,number
1,21005,8386.0,3187.0,1815.0,2.52,2.95,21163.0,8061.0,8824.0,529.0,372.0,5563.0,14258.0,15807.0,21057.0,21308.0,285.0,411.0,126.0,285.0,285.0,19927.0,21308.0,136
2,21005,8369.0,3025.0,1916.0,2.55,3.04,21307.0,8193.0,8893.0,500.0,325.0,5289.0,14469.0,16077.0,21163.0,21442.0,283.0,391.0,108.0,283.0,283.0,20047.0,21442.0,78
3,21005,8323.0,3107.0,2012.0,2.58,3.02,21451.0,8173.0,8958.0,533.0,353.0,5634.0,14521.0,16094.0,21280.0,21575.0,309.0,460.0,151.0,309.0,309.0,20161.0,21575.0,50
4,21005,8353.0,3107.0,2038.0,2.58,3.04,21548.0,8202.0,8976.0,690.0,410.0,5224.0,14588.0,16175.0,21335.0,21664.0,201.0,356.0,155.0,201.0,201.0,20249.0,21664.0,66
5,21005,8446.0,3039.0,2068.0,2.56,3.05,21654.0,8318.0,9011.0,609.0,322.0,5114.0,14725.0,16334.0,21398.0,21761.0,198.0,316.0,118.0,198.0,198.0,20400.0,21761.0,38
6,21005,8554.0,2855.0,2222.0,2.54,3.0,21762.0,8436.0,9068.0,554.0,267.0,4965.0,14970.0,16571.0,21521.0,21867.0,220.0,254.0,34.0,220.0,220.0,20545.0,21867.0,72
0,21007,3363.0,1064.0,987.0,2.45,2.85,8225.0,3288.0,3416.0,51.0,51.0,1911.0,5791.0,6376.0,8080.0,8225.0,92.0,114.0,22.0,92.0,92.0,7770.0,8225.0,24
1,21007,3358.0,1005.0,985.0,2.42,2.84,8114.0,3292.0,3433.0,125.0,87.0,1903.0,5807.0,6399.0,8132.0,8235.0,101.0,116.0,15.0,101.0,101.0,7759.0,8235.0,17
2,21007,3379.0,1061.0,1015.0,2.41,2.83,8159.0,3327.0,3483.0,208.0,134.0,1857.0,5870.0,6468.0,8137.0,8268.0,94.0,111.0,17.0,94.0,94.0,7813.0,8268.0,11
3,21007,3327.0,978.0,1044.0,2.46,2.97,8170.0,3329.0,3471.0,216.0,132.0,1927.0,5859.0,6448.0,8181.0,8282.0,80.0,95.0,15.0,80.0,80.0,7828.0,8282.0,11
4,21007,3279.0,979.0,1111.0,2.49,2.98,8160.0,3366.0,3435.0,222.0,126.0,1856.0,5841.0,6448.0,8209.0,8274.0,65.0,110.0,45.0,65.0,65.0,7840.0,8274.0,18.0
5,21007,3288.0,1003.0,1143.0,2.48,2.98,8139.0,3336.0,3440.0,257.0,132.0,1879.0,5804.0,6421.0,8174.0,8256.0,152.0,205.0,53.0,152.0,152.0,7835.0,8256.0,25
6,21007,3252.0,971.0,1157.0,2.49,3.04,8097.0,3313.0,3428.0,208.0,111.0,1890.0,5766.0,6389.0,8126.0,8216.0,141.0,210.0,69.0,141.0,141.0,7790.0,8216.0,16
0,21009,16727.0,5565.0,4591.0,2.46,2.97,41103.0,15895.0,17435.0,1109.0,605.0,9693.0,28523.0,31524.0,41150.0,41685.0,620.0,723.0,103.0,620.0,620.0,38993.0,41685.0,383
1,21009,16708.0,5796.0,4651.0,2.46,2.96,41135.0,16055.0,17490.0,1072.0,555.0,10055.0,28647.0,31748.0,41471.0,41961.0,715.0,793.0,78.0,715.0,715.0,39253.0,41961.0,423
2,21009,16848.0,5804.0,4652.0,2.46,2.98,41411.0,16157.0,17676.0,1181.0,636.0,10015.0,28802.0,32023.0,41820.0,42229.0,581.0,619.0,38.0,581.0,581.0,39593.0,42229.0,293
3,21009,16584.0,5717.0,4601.0,2.51,3.04,41689.0,16343.0,17680.0,1108.0,644.0,10014.0,28876.0,32180.0,42048.0,42504.0,680.0,784.0,104.0,680.0,680.0,39819.0,42504.0,306
4,21009,16789.0,5461.0,4771.0,2.5,3.06,41892.0,16439.0,17817.0,836.0,419.0,10060.0,29028.0,32434.0,42237.0,42691.0,669.0,787.0,118.0,669.0,669.0,39982.0,42691.0,269
5,21009,16979.0,5552.0,4864.0,2.48,3.03,42177.0,16709.0,17885.0,980.0,520.0,10016.0,29283.0,32725.0,42402.0,42925.0,752.0,866.0,114.0,752.0,752.0,40294.0,42925.0,264
6,21009,16766.0,5306.0,4737.0,2.54,3.08,42539.0,16793.0,18046.0,923.0,526.0,10030.0,29416.0,32982.0,42717.0,43287.0,758.0,909.0,151.0,758.0,758.0,40541.0,43287.0,289
0,21011,4338.0,1725.0,1001.0,2.61,3.12,11329.0,4464.0,4710.0,585.0,536.0,2730.0,7851.0,8684.0,11332.0,11565.0,33.0,41.0,8.0,33.0,33.0,10770.0,11565.0,81
1,21011,4306.0,1664.0,1119.0,2.67,3.21,11495.0,4472.0,4710.0,435.0,347.0,2683.0,7872.0,8716.0,11395.0,11605.0,101.0,110.0,9.0,101.0,101.0,10773.0,11605.0,89
2,21011,4421.0,1532.0,1141.0,2.61,3.25,11554.0,4510.0,4722.0,479.0,379.0,2689.0,7892.0,8761.0,11478.0,11665.0,73.0,84.0,11.0,73.0,73.0,10831.0,11665.0,80
3,21011,4447.0,1600.0,1177.0,2.61,3.16,11621.0,4504.0,4774.0,488.0,387.0,2661.0,7885.0,8796.0,11570.0,11732.0,88.0,113.0,25.0,88.0,88.0,10927.0,11732.0,82
4,21011,4361.0,1548.0,1221.0,2.7,3.24,11758.0,4591.0,4818.0,476.0,339.0,2731.0,7965.0,8899.0,11697.0,11870.0,100.0,135.0,35.0,100.0,100.0,11069.0,11870.0,58
5,21011,4297.0,1337.0,1321.0,2.76,3.36,11868.0,4632.0,4897.0,218.0,111.0,2896.0,8037.0,8989.0,11862.0,11978.0,90.0,119.0,29.0,90.0,90.0,11217.0,11978.0,126
6,21011,4450.0,1350.0,1377.0,2.7,3.22,12005.0,4690.0,4931.0,207.0,113.0,2861.0,8115.0,9077.0,11998.0,12113.0,127.0,173.0,46.0,127.0,127.0,11325.0,12113.0,44
0,21013,10902.0,3460.0,3211.0,2.53,3.05,27634.0,11207.0,12393.0,812.0,601.0,6528.0,19716.0,22385.0,28408.0,28793.0,80.0,153.0,73.0,80.0,80.0,27088.0,28793.0,387
1,21013,10632.0,3426.0,3105.0,2.6,3.19,27685.0,11209.0,12407.0,883.0,641.0,6665.0,19753.0,22386.0,28344.0,28744.0,79.0,179.0,100.0,79.0,79.0,27041.0,28744.0,204
2,21013,10881.0,3534.0,3221.0,2.54,3.04,27598.0,11155.0,12331.0,900.0,604.0,6441.0,19753.0,22314.0,28243.0,28613.0,92.0,209.0,117.0,92.0,92.0,26916.0,28613.0,257
3,21013,11109.0,3595.0,3330.0,2.46,3.02,27382.0,11112.0,12227.0,894.0,607.0,6276.0,19641.0,22215.0,28134.0,28409.0,92.0,238.0,146.0,92.0,92.0,26747.0,28409.0,259
4,21013,11181.0,3528.0,3478.0,2.44,3.03,27230.0,11080.0,12119.0,806.0,534.0,6089.0,19635.0,22117.0,27970.0,28234.0,110.0,254.0,144.0,110.0,110.0,26561.0,28234.0,739
5,21013,11088.0,3488.0,3516.0,2.44,3.1,27028.0,11039.0,11918.0,877.0,560.0,5932.0,19492.0,21898.0,27716.0,27950.0,122.0,222.0,100.0,122.0,122.0,26277.0,27950.0,735
6,21013,10978.0,3521.0,3556.0,2.43,3.06,26729.0,10960.0,11773.0,781.0,469.0,6020.0,19428.0,21684.0,27414.0,27676.0,128.0,207.0,79.0,128.0,128.0,26029.0,27676.0,798
0,21015,41612.0,16747.0,7041.0,2.74,3.23,114026.0,42576.0,44723.0,1832.0,807.0,32039.0,73330.0,82117.0,113121.0,114723.0,5075.0,6151.0,1076.0,5075.0,5075.0,105895.0,114723.0,299
1,21015,41843.0,16674.0,7704.0,2.78,3.27,116487.0,43631.0,45584.0,1821.0,820.0,33262.0,75248.0,84044.0,115819.0,117216.0,5516.0,6789.0,1273.0,5516.0,5516.0,108287.0,117216.0,257
2,21015,42617.0,17358.0,8207.0,2.78,3.28,118644.0,44598.0,46406.0,2258.0,1008.0,33718.0,76832.0,85770.0,117841.0,119406.0,5555.0,6816.0,1261.0,5555.0,5555.0,110410.0,119406.0,405
3,21015,43255.0,17345.0,8686.0,2.78,3.27,120390.0,45367.0,47125.0,2496.0,936.0,34245.0,78129.0,87291.0,119632.0,121214.0,5458.0,6365.0,907.0,5458.0,5458.0,112290.0,121214.0,439
4,21015,43903.0,17398.0,9092.0,2.78,3.26,122141.0,46151.0,47971.0,2319.0,906.0,34336.0,79571.0,88778.0,121466.0,123030.0,5514.0,6571.0,1057.0,5514.0,5514.0,114032.0,123030.0,344
5,21015,44709.0,17801.0,9472.0,2.77,3.21,123644.0,46872.0,48644.0,2315.0,978.0,34390.0,80765.0,90114.0,123161.0,124617.0,6293.0,7281.0,988.0,6293.0,6293.0,115625.0,124617.0,506
6,21015,45649.0,18161.0,9961.0,2.73,3.16,124657.0,47653.0,49388.0,2649.0,1177.0,34245.0,81533.0,91260.0,124308.0,125656.0,5501.0,6267.0,766.0,5501.0,5501.0,117019.0,125656.0,414
0,21017,8132.0,2858.0,1975.0,2.41,2.9,19563.0,7735.0,8308.0,362.0,185.0,4796.0,13648.0,15144.0,19684.0,19947.0,837.0,1049.0,212.0,837.0,837.0,18740.0,19947.0,161
1,21017,7933.0,2776.0,2203.0,2.49,2.99,19715.0,7745.0,8315.0,415.0,199.0,4722.0,13750.0,15205.0,19729.0,19987.0,922.0,1059.0,137.0,922.0,922.0,18753.0,19987.0,57
2,21017,7971.0,2753.0,2210.0,2.47,2.99,19725.0,7768.0,8340.0,405.0,248.0,4628.0,13686.0,15237.0,19702.0,20004.0,1004.0,1126.0,122.0,1004.0,1004.0,18796.0,20004.0,80
3,21017,7865.0,2595.0,2223.0,2.51,3.03,19722.0,7824.0,8345.0,432.0,278.0,4563.0,13688.0,15248.0,19733.0,19999.0,1031.0,1123.0,92.0,1031.0,1031.0,18760.0,19999.0,123
4,21017,7782.0,2545.0,2253.0,2.53,3.06,19709.0,7814.0,8335.0,474.0,254.0,4481.0,13761.0,15287.0,19734.0,19972.0,888.0,940.0,52.0,888.0,888.0,18796.0,19972.0,83
5,21017,7867.0,2619.0,2290.0,2.51,3.05,19762.0,7875.0,8391.0,397.0,262.0,4436.0,13852.0,15383.0,19789.0,20013.0,981.0,1016.0,35.0,981.0,981.0,18869.0,20013.0,80
6,21017,8043.0,2614.0,2407.0,2.46,3.02,19762.0,7842.0,8414.0,365.0,237.0,4345.0,13879.0,15410.0,19753.0,20004.0,987.0,1018.0,31.0,987.0,987.0,18796.0,20004.0,156
0,21019,19542.0,5885.0,5946.0,2.39,2.96,46747.0,20142.0,20575.0,1365.0,698.0,10839.0,35017.0,38647.0,48830.0,49330.0,556.0,729.0,173.0,556.0,556.0,46410.0,49330.0,504
1,21019,19521.0,5892.0,5917.0,2.4,2.96,46928.0,20137.0,20597.0,1435.0,791.0,10710.0,35101.0,38762.0,48936.0,49368.0,634.0,873.0,239.0,634.0,634.0,46469.0,49368.0,623
2,21019,19608.0,6087.0,5953.0,2.4,2.93,46970.0,20134.0,20579.0,1581.0,922.0,10470.0,35131.0,38758.0,48861.0,49358.0,586.0,801.0,215.0,586.0,586.0,46508.0,49358.0,474
3,21019,19530.0,6083.0,5917.0,2.41,2.92,46973.0,20081.0,20620.0,1464.0,847.0,10662.0,35126.0,38774.0,48915.0,49314.0,568.0,748.0,180.0,568.0,568.0,46498.0,49314.0,588
4,21019,19533.0,6164.0,5936.0,2.4,2.9,46976.0,19975.0,20607.0,1513.0,863.0,10881.0,35099.0,38709.0,48792.0,49242.0,544.0,760.0,216.0,544.0,544.0,46406.0,49242.0,487
5,21019,19383.0,5909.0,6044.0,2.41,2.89,46717.0,19925.0,20458.0,1314.0,753.0,10696.0,34832.0,38523.0,48514.0,48917.0,504.0,736.0,232.0,504.0,504.0,46169.0,48917.0,437
6,21019,19386.0,5961.0,6115.0,2.4,2.89,46520.0,19830.0,20397.0,1551.0,885.0,10665.0,34732.0,38344.0,48096.0,48716.0,443.0,607.0,164.0,443.0,443.0,45899.0,48716.0,289
0,21021,10787.0,3552.0,3130.0,2.37,2.83,25607.0,11296.0,11844.0,365.0,224.0,7411.0,18983.0,22018.0,27921.0,28245.0,790.0,1037.0,247.0,790.0,790.0,26651.0,28245.0,200
1,21021,10916.0,3414.0,3126.0,2.41,2.87,26260.0,11309.0,12004.0,312.0,169.0,7387.0,19045.0,22124.0,27991.0,28345.0,810.0,1036.0,226.0,810.0,810.0,26754.0,28345.0,103
2,21021,11143.0,3514.0,3204.0,2.35,2.83,26222.0,11457.0,11991.0,454.0,227.0,7384.0,19188.0,22271.0,28055.0,28445.0,802.0,922.0,120.0,802.0,802.0,26860.0,28445.0,120
3,21021,11100.0,3336.0,3260.0,2.38,2.89,26429.0,11613.0,12086.0,439.0,215.0,7473.0,19335.0,22566.0,28361.0,28701.0,731.0,865.0,134.0,731.0,731.0,27130.0,28701.0,149
4,21021,10981.0,3259.0,3312.0,2.43,2.96,26650.0,11917.0,12287.0,525.0,255.0,7650.0,19552.0,23079.0,28893.0,29150.0,633.0,771.0,138.0,633.0,633.0,27608.0,29150.0,192
5,21021,11045.0,3005.0,3423.0,2.42,3.04,26742.0,12030.0,12405.0,588.0,298.0,7758.0,19713.0,23332.0,29111.0,29388.0,683.0,836.0,153.0,683.0,683.0,27836.0,29388.0,135
6,21021,10882.0,3168.0,3437.0,2.47,3.08,26927.0,12203.0,12479.0,736.0,413.0,7515.0,19857.0,23637.0,29420.0,29650.0,605.0,824.0,219.0,605.0,605.0,28072.0,29650.0,239
0,21023,3177.0,1048.0,869.0,2.67,3.2,8479.0,3301.0,3384.0,232.0,130.0,2004.0,5610.0,6314.0,8319.0,8479.0,58.0,93.0,35.0,58.0,58.0,7907.0,8479.0,28
1,21023,3070.0,1083.0,870.0,2.75,3.35,8452.0,3350.0,3358.0,263.0,167.0,1983.0,5622.0,6346.0,8306.0,8486.0,130.0,153.0,23.0,130.0,130.0,7890.0,8486.0,35
2,21023,3231.0,1057.0,931.0,2.62,3.27,8450.0,3360.0,3363.0,266.0,175.0,1924.0,5637.0,6363.0,8305.0,8488.0,131.0,142.0,11.0,131.0,131.0,7895.0,8488.0,58
3,21023,3252.0,1049.0,946.0,2.59,3.26,8432.0,3346.0,3387.0,309.0,167.0,1975.0,5668.0,6377.0,8359.0,8472.0,77.0,82.0,5.0,77.0,77.0,7914.0,8472.0,22
4,21023,3303.0,1130.0,956.0,2.55,3.16,8418.0,3331.0,3401.0,328.0,175.0,1867.0,5674.0,6372.0,8348.0,8459.0,92.0,99.0,7.0,92.0,92.0,7900.0,8459.0,30
5,21023,3303.0,1102.0,975.0,2.54,3.2,8381.0,3322.0,3388.0,262.0,105.0,1892.0,5674.0,6346.0,8284.0,8425.0,68.0,76.0,8.0,68.0,68.0,7873.0,8425.0,19
6,21023,3412.0,1158.0,996.0,2.45,3.06,8369.0,3314.0,3402.0,282.0,86.0,1825.0,5698.0,6352.0,8292.0,8404.0,74.0,79.0,5.0,74.0,74.0,7877.0,8404.0,44
0,21025,5257.0,1326.0,1420.0,2.66,3.47,14005.0,5779.0,5777.0,214.0,117.0,2929.0,9749.0,10966.0,14040.0,14202.0,83.0,127.0,44.0,83.0,83.0,13341.0,14202.0,162
1,21025,5314.0,1503.0,1362.0,2.55,3.18,13555.0,5780.0,5772.0,248.0,153.0,3213.0,9597.0,10880.0,14015.0,14062.0,71.0,111.0,40.0,71.0,71.0,13217.0,14062.0,52
2,21025,5297.0,1406.0,1418.0,2.54,3.18,13441.0,5721.0,5741.0,296.0,229.0,3220.0,9538.0,10797.0,13843.0,13922.0,86.0,122.0,36.0,86.0,86.0,13103.0,13922.0,105
3,21025,5290.0,1486.0,1435.0,2.52,3.16,13346.0,5703.0,5708.0,471.0,324.0,3131.0,9508.0,10773.0,13713.0,13776.0,99.0,140.0,41.0,99.0,99.0,13001.0,13776.0,113
4,21025,5434.0,1705.0,1467.0,2.44,2.98,13276.0,5631.0,5709.0,507.0,342.0,2977.0,9460.0,10721.0,13559.0,13663.0,67.0,89.0,22.0,67.0,67.0,12900.0,13663.0,62
5,21025,5494.0,1738.0,1501.0,2.41,2.94,13255.0,5589.0,5698.0,522.0,384.0,2807.0,9452.0,10673.0,13452.0,13591.0,57.0,87.0,30.0,57.0,57.0,12828.0,13591.0,89
6,21025,5304.0,1556.0,1535.0,2.48,3.1,13132.0,5519.0,5640.0,486.0,328.0,2634.0,9401.0,10578.0,13292.0,13476.0,60.0,89.0,29.0,60.0,60.0,12664.0,13476.0,81
0,21027,7474.0,2168.0,2239.0,2.61,3.07,19473.0,7873.0,7929.0,585.0,315.0,4601.0,13560.0,14980.0,19626.0,19893.0,70.0,159.0,89.0,70.0,70.0,18661.0,19893.0,78
1,21027,7519.0,2291.0,2207.0,2.62,3.1,19729.0,7940.0,7999.0,580.0,316.0,4547.0,13656.0,15103.0,19810.0,20029.0,77.0,152.0,75.0,77.0,77.0,18802.0,20029.0,61
2,21027,7405.0,2116.0,2270.0,2.67,3.2,19779.0,7968.0,8026.0,540.0,330.0,4594.0,13729.0,15148.0,19871.0,20068.0,114.0,199.0,85.0,114.0,114.0,18843.0,20068.0,47
3,21027,7213.0,2120.0,2285.0,2.74,3.29,19770.0,8021.0,8089.0,640.0,354.0,4472.0,13733.0,15236.0,19865.0,20059.0,88.0,178.0,90.0,88.0,88.0,18909.0,20059.0,79
4,21027,7325.0,2094.0,2320.0,2.7,3.22,19777.0,8011.0,8154.0,514.0,265.0,4524.0,13834.0,15314.0,19850.0,20076.0,71.0,162.0,91.0,71.0,71.0,18947.0,20076.0,38
5,21027,7297.0,2035.0,2288.0,2.71,3.22,19762.0,8045.0,8150.0,385.0,224.0,4452.0,13832.0,15334.0,19816.0,20061.0,65.0,116.0,51.0,65.0,65.0,18904.0,20061.0,26
6,21027,7343.0,1981.0,2432.0,2.68,3.26,19695.0,8056.0,8151.0,509.0,221.0,4425.0,13867.0,15350.0,19725.0,20000.0,103.0,157.0,54.0,103.0,103.0,18886.0,20000.0,53
0,21029,27266.0,10569.0,5484.0,2.65,3.04,72124.0,28280.0,29044.0,1811.0,914.0,18902.0,48084.0,53809.0,71816.0,72515.0,721.0,1198.0,477.0,721.0,721.0,67973.0,72515.0,316
1,21029,27705.0,10566.0,5877.0,2.65,3.05,73292.0,28679.0,29653.0,2033.0,951.0,18868.0,48993.0,54819.0,72874.0,73529.0,781.0,1234.0,453.0,781.0,781.0,68984.0,73529.0,347
2,21029,27791.0,10532.0,6137.0,2.67,3.06,74175.0,29111.0,30108.0,2059.0,1045.0,19199.0,49779.0,55722.0,73825.0,74431.0,647.0,1084.0,437.0,647.0,647.0,69913.0,74431.0,330
3,21029,27874.0,10446.0,6586.0,2.69,3.09,74993.0,29581.0,30659.0,2293.0,1100.0,19167.0,50580.0,56703.0,74648.0,75250.0,696.0,1049.0,353.0,696.0,696.0,70867.0,75250.0,326
4,21029,28282.0,10091.0,6853.0,2.68,3.07,75816.0,30004.0,31133.0,2040.0,808.0,18861.0,51310.0,57681.0,75456.0,76093.0,749.0,1127.0,378.0,749.0,749.0,71807.0,76093.0,313
5,21029,28267.0,9495.0,7122.0,2.71,3.12,76643.0,30404.0,31728.0,1902.0,867.0,18560.0,52336.0,58692.0,76265.0,76961.0,756.0,1079.0,323.0,756.0,756.0,72760.0,76961.0,295
6,21029,28533.0,9738.0,7377.0,2.71,3.13,77394.0,30972.0,32044.0,2134.0,1045.0,18220.0,53090.0,59615.0,76948.0,77727.0,679.0,972.0,293.0,679.0,679.0,73579.0,77727.0,283
0,21031,5175.0,1608.0,1375.0,2.43,2.92,12597.0,5145.0,5232.0,224.0,161.0,2682.0,8774.0,9794.0,12522.0,12763.0,178.0,313.0,135.0,178.0,178.0,11981.0,12763.0,102
1,21031,5081.0,1631.0,1373.0,2.47,2.94,12543.0,5096.0,5194.0,238.0,197.0,2712.0,8751.0,9754.0,12585.0,12746.0,199.0,362.0,163.0,199.0,199.0,11965.0,12746.0,66
2,21031,5052.0,1584.0,1431.0,2.48,2.98,12543.0,5124.0,5133.0,223.0,164.0,2794.0,8739.0,9741.0,12592.0,12748.0,218.0,311.0,93.0,218.0,218.0,11985.0,12748.0,72
3,21031,5124.0,1683.0,1509.0,2.45,2.89,12541.0,5131.0,5155.0,215.0,165.0,2774.0,8808.0,9777.0,12598.0,12746.0,217.0,268.0,51.0,217.0,217.0,12015.0,12746.0,47
4,21031,5107.0,1604.0,1487.0,2.47,3.01,12589.0,5159.0,5210.0,197.0,133.0,2666.0,8876.0,9849.0,12628.0,12797.0,219.0,253.0,34.0,219.0,219.0,12055.0,12797.0,53
5,21031,5176.0,1677.0,1478.0,2.44,2.93,12620.0,5183.0,5204.0,205.0,161.0,2622.0,8952.0,9874.0,12729.0,12835.0,163.0,185.0,22.0,163.0,163.0,12017.0,12835.0,48
6,21031,5153.0,1695.0,1479.0,2.45,2.9,12614.0,5192.0,5222.0,284.0,167.0,2628.0,8995.0,9911.0,12710.0,12828.0,145.0,150.0,5.0,145.0,145.0,12063.0,12828.0,87
0,21033,5261.0,1259.0,1718.0,2.45,3.05,12866.0,4905.0,5662.0,167.0,146.0,3038.0,9110.0,10050.0,12830.0,12934.0,132.0,186.0,54.0,132.0,132.0,12172.0,12934.0,78
1,21033,5047.0,1246.0,1679.0,2.54,3.27,12815.0,5015.0,5585.0,325.0,149.0,2889.0,9097.0,10094.0,12735.0,12962.0,61.0,132.0,71.0,61.0,61.0,12135.0,12962.0,58
2,21033,5092.0,1420.0,1668.0,2.52,3.08,12829.0,5060.0,5501.0,374.0,174.0,2813.0,9071.0,10088.0,12761.0,12977.0,43.0,102.0,59.0,43.0,43.0,12153.0,12977.0,111
3,21033,5232.0,1456.0,1703.0,2.44,3.01,12792.0,5048.0,5492.0,358.0,188.0,2779.0,9075.0,10066.0,12781.0,12946.0,58.0,100.0,42.0,58.0,58.0,12160.0,12946.0,47
4,21033,5320.0,1522.0,1754.0,2.39,2.91,12722.0,4968.0,5492.0,405.0,166.0,2656.0,9017.0,9987.0,12688.0,12880.0,28.0,72.0,44.0,28.0,28.0,12094.0,12880.0,67
